d_temp,rho_scale,bias_departure,onset,exit,dwell,ne_max,q_max,drift_mean,drift_sd,terminal_mean,terminal_max
#units,K,-,-,s,s,s,m^-3,W/m2,m,m,m,m
0,1,1,13.100000000000001,68.7,55.70000000000052,473379664855268400000,4775192.027060186,41.601742513703684,1.9731923342228972,0.1331770515200405,0.1947937256987552
20,0.9,1.2,13.600000000000001,69,55.50000000000052,472049383321684100000,4773206.511247898,48.63607315038705,2.3950985453551334,0.1413268861656593,0.21157219893204607
-25,1.1,1.25,12.8,68.60000000000001,55.900000000000524,473437102543209200000,4869937.750297608,50.6826083505661,2.9323273853977825,0.13237417050304937,0.20639125079484147
-40,1.2,1.4,12.4,68.4,56.10000000000053,476506008399836200000,4956414.221541537,58.709922175933954,2.2714457178786884,0.15077638161792054,0.21885252510170508
-5,0.75,1.05,14.600000000000001,69.5,55.00000000000051,453872130746872700000,5214946.9872479625,41.27525664464444,1.9434898169983168,0.13627367777818344,0.18840781945548205
5,1.3,1.05,12.100000000000001,68.10000000000001,56.10000000000053,494724867162922300000,5035656.220701893,43.05316713807534,1.7109896606280117,0.14109974071654927,0.20671077497376938
