commanded_throttle,realized_throttle,preserved_fraction,final_density,net_deceleration,propellant_used,dv_actual,dv_frozen,bond_growth
#units,-,-,-,m^-3,m/s2,kg,m/s,m/s,-
0,0,NaN,1130290276390578800000000,10.644125373939918,1.11296707870315,139.69452574006846,-7.613066257635734,0
0.16,0.16,0.13102452204169596,1186590530187776600000000,5.285197552327077,49.30721419419888,55.909110208945094,30.27981355771234,0
0.24,0.24,-0.0013548259126702523,1174034336012613100000000,5.031148327555557,73.4043377519738,59.22937542220552,50.37933491980275,0
0.31,0.31,-0.029240763329727876,1150013070922137000000000,6.158481854685489,94.48932086496598,72.7980750134966,68.22137725535195,0
0.38,0.38,-0.04724689506699463,1144799064816707100000000,7.47897791145063,115.57430397801227,88.15639280560936,86.20092749162431,0
