frame,alt_km,plasma,rf
1079,65.57,1.1492,0.0
1080,65.42,1.1596,0.0
1081,65.27,1.1698,0.0
1082,65.12,1.18,0.0
1083,64.97,1.19,0.0
1084,64.82,1.1998,0.0
1085,64.67,1.2095,0.0
1086,64.52,1.219,0.0
1087,64.36,1.2283,0.0
1088,64.21,1.2374,0.0
1089,64.06,1.2462,0.0
1090,63.91,1.2548,0.0
1091,63.76,1.2632,0.0
1092,63.61,1.2712,0.0
1093,63.46,1.279,0.0
1094,63.31,1.2864,0.0
1095,63.16,1.2935,0.0
1096,63.02,1.3003,0.0
1097,62.87,1.3067,0.0
1098,62.72,1.3127,0.0
1099,62.57,1.3183,0.0
1100,62.43,1.3236,0.0
1101,62.28,1.3284,0.0
1102,62.13,1.3327,0.0
1103,61.99,1.3367,0.0
1104,61.85,1.3401,0.0
1105,61.7,1.3431,0.0
1106,61.56,1.3455,0.0
1107,61.42,1.3475,0.0
1108,61.28,1.3489,0.0
1109,61.14,1.3497,0.0
1110,61.0,1.35,0.0
1111,60.86,1.3499,0.0
1112,60.73,1.3496,0.0
1113,60.59,1.3491,0.0
1114,60.46,1.3484,0.0
1115,60.32,1.3475,0.0
1116,60.19,1.3465,0.0
1117,60.06,1.3452,0.0
1118,59.93,1.3438,0.0
1119,59.8,1.3422,0.0
1120,59.67,1.3404,0.0
1121,59.54,1.3384,0.0
1122,59.42,1.3363,0.0
1123,59.29,1.334,0.0
1124,59.16,1.3316,0.0
1125,59.04,1.329,0.0
1126,58.92,1.3262,0.0
1127,58.8,1.3233,0.0
1128,58.68,1.3203,0.0
1129,58.56,1.3171,0.0
1130,58.44,1.3137,0.0
1131,58.32,1.3102,0.0
1132,58.2,1.3066,0.0
1133,58.09,1.3029,0.0
1134,57.97,1.299,0.0
1135,57.86,1.295,0.0
1136,57.74,1.2909,0.0
1137,57.63,1.2866,0.0
1138,57.52,1.2822,0.0
1139,57.41,1.2778,0.0
1140,57.3,1.2732,0.0
1141,57.19,1.2685,0.0
1142,57.08,1.2637,0.0
1143,56.98,1.2588,0.0
1144,56.87,1.2538,0.0
1145,56.76,1.2487,0.0
1146,56.66,1.2435,0.0
1147,56.56,1.2382,0.0
1148,56.45,1.2329,0.0
1149,56.35,1.2274,0.0
1150,56.25,1.2219,0.0
1151,56.15,1.2163,0.0
1152,56.05,1.2106,0.0
1153,55.95,1.2049,0.0
1154,55.86,1.1991,0.0
1155,55.76,1.1932,0.0
1156,55.66,1.1873,0.0
1157,55.57,1.1813,0.0
1158,55.47,1.1753,0.0
1159,55.38,1.1692,0.0
1160,55.29,1.1631,0.0
1161,55.2,1.1569,0.0
1162,55.1,1.1507,0.0
1163,55.02,1.1445,0.0
1164,54.93,1.1382,0.0
1165,54.84,1.1319,0.0
1166,54.75,1.1256,0.0
1167,54.66,1.1192,0.0
1168,54.58,1.1128,0.0
1169,54.49,1.1064,0.0
1170,54.41,1.1,0.0
1171,54.32,1.0936,0.0
1172,54.24,1.0871,0.0
1173,54.16,1.0807,0.0
1174,54.07,1.0742,0.0
1175,53.99,1.0678,0.0
1176,53.91,1.0613,0.0
1177,53.84,1.0548,0.0
1178,53.76,1.0483,0.0
1179,53.68,1.0418,0.0
1180,53.6,1.0353,0.0
1181,53.52,1.0288,0.0
1182,53.45,1.0223,0.0
1183,53.37,1.0158,0.0
1184,53.3,1.0093,0.0
1185,53.23,1.0027,0.0
1186,53.15,0.9962,0.0
1187,53.08,0.9897,0.0
1188,53.01,0.9831,0.0
1189,52.94,0.9766,0.0
1190,52.87,0.9701,0.0
1191,52.8,0.9636,0.0
1192,52.73,0.957,0.0
1193,52.66,0.9505,0.0
1194,52.59,0.944,0.0
1195,52.53,0.9375,0.0
1196,52.46,0.931,0.0
1197,52.4,0.9244,0.0
1198,52.33,0.9179,0.0
1199,52.27,0.9114,0.0
1200,52.2,0.9049,0.0
1201,52.14,0.8985,0.0
1202,52.08,0.892,0.0
1203,52.02,0.8855,0.0
1204,51.96,0.879,0.0
1205,51.9,0.8726,0.0
1206,51.84,0.8661,0.0
1207,51.78,0.8597,0.0
1208,51.72,0.8533,0.0
1209,51.66,0.8469,0.0
1210,51.6,0.8405,0.0
1211,51.55,0.8341,0.0
1212,51.49,0.8277,0.0
1213,51.44,0.8214,0.0
1214,51.38,0.815,0.0
1215,51.33,0.8087,0.0
1216,51.27,0.8024,0.0
1217,51.22,0.7961,0.0
1218,51.17,0.7898,0.0
1219,51.11,0.7836,0.0
1220,51.06,0.7773,0.0
1221,51.01,0.7711,0.0
1222,50.96,0.7649,0.0
1223,50.91,0.7587,0.0
1224,50.86,0.7526,0.0
1225,50.81,0.7464,0.0
1226,50.77,0.7403,0.0
1227,50.72,0.7342,0.0
1228,50.67,0.7282,0.0
1229,50.62,0.7221,0.0
1230,50.58,0.7161,0.0
1231,50.53,0.7101,0.0
1232,50.49,0.7041,0.0
1233,50.44,0.6982,0.0
1234,50.4,0.6923,0.0
1235,50.35,0.6864,0.0
1236,50.31,0.6805,0.0
1237,50.27,0.6747,0.0
1238,50.23,0.6689,0.0
1239,50.19,0.6631,0.0
1240,50.14,0.6574,0.0
1241,50.1,0.6517,0.0
1242,50.06,0.646,0.0
1243,50.02,0.6404,0.0
1244,49.98,0.6348,0.0
1245,49.94,0.6292,0.0
1246,49.91,0.6236,0.0
1247,49.87,0.6181,0.0
1248,49.83,0.6127,0.0
1249,49.79,0.6072,0.0
1250,49.76,0.6018,0.0
1251,49.72,0.5965,0.0
1252,49.68,0.5911,0.0
1253,49.65,0.5859,0.0
1254,49.61,0.5806,0.0
1255,49.58,0.5754,0.0
1256,49.54,0.5702,0.0
1257,49.51,0.5651,0.0
1258,49.48,0.56,0.0
1259,49.44,0.555,0.0
1260,49.41,0.55,0.0
1261,49.38,0.545,0.0
1262,49.35,0.5401,0.0
1263,49.31,0.5353,0.0
1264,49.28,0.5304,0.0
1265,49.25,0.5257,0.0
1266,49.22,0.5209,0.0
1267,49.19,0.5162,0.0
1268,49.16,0.5116,0.0
1269,49.13,0.5069,0.0
1270,49.1,0.5024,0.0
1271,49.07,0.4978,0.0
1272,49.05,0.4933,0.0
1273,49.02,0.4889,0.0
1274,48.99,0.4844,0.0
1275,48.96,0.48,0.0
1276,48.94,0.4757,0.0
1277,48.91,0.4714,0.0
1278,48.88,0.4671,0.0
1279,48.86,0.4629,0.0
1280,48.83,0.4587,0.0
1281,48.8,0.4545,0.0
1282,48.78,0.4503,0.0
1283,48.75,0.4462,0.0
1284,48.73,0.4422,0.0
1285,48.7,0.4381,0.0
1286,48.68,0.4341,0.0
1287,48.66,0.4302,0.0
1288,48.63,0.4262,0.0
1289,48.61,0.4223,0.0
1290,48.59,0.4184,0.0
1291,48.56,0.4146,0.0
1292,48.54,0.4108,0.0
1293,48.52,0.407,0.0
1294,48.49,0.4032,0.0
1295,48.47,0.3995,0.0
1296,48.45,0.3958,0.0
1297,48.43,0.3921,0.0
1298,48.41,0.3884,0.0
1299,48.39,0.3848,0.0
1300,48.37,0.3812,0.0
1301,48.34,0.3777,0.0
1302,48.33,0.3741,0.0
1303,48.3,0.3706,0.0
1304,48.28,0.3671,0.0
1305,48.26,0.3636,0.0
1306,48.24,0.3602,0.0
1307,48.23,0.3568,0.0147
1308,48.21,0.3534,0.0302
1309,48.19,0.35,0.0455
1310,48.17,0.3466,0.0608
1311,48.15,0.3433,0.0759
1312,48.13,0.34,0.091
1313,48.11,0.3367,0.106
1314,48.09,0.3334,0.1208
1315,48.08,0.3302,0.1356
1316,48.06,0.3269,0.1503
1317,48.04,0.3237,0.1649
1318,48.02,0.3205,0.1795
1319,48.0,0.3173,0.1939
1320,47.99,0.3142,0.2083
1321,47.97,0.311,0.2226
1322,47.95,0.3079,0.2368
1323,47.93,0.3048,0.2509
1324,47.92,0.3017,0.265
1325,47.9,0.2986,0.279
1326,47.88,0.2956,0.2929
1327,47.87,0.2925,0.3068
1328,47.85,0.2895,0.3205
1329,47.83,0.2865,0.3343
1330,47.82,0.2834,0.348
1331,47.8,0.2805,0.3616
1332,47.78,0.2775,0.3751
1333,47.77,0.2745,0.3887
1334,47.75,0.2715,0.4021
1335,47.73,0.2686,0.4155
1336,47.72,0.2656,0.4289
1337,47.7,0.2627,0.4422
1338,47.69,0.2598,0.4555
1339,47.67,0.2569,0.4687
1340,47.65,0.254,0.4819
1341,47.64,0.2511,0.495
1342,47.62,0.2482,0.5082
1343,47.61,0.2453,0.5212
1344,47.59,0.2425,0.5343
1345,47.58,0.2396,0.5473
1346,47.56,0.2367,0.5603
1347,47.54,0.2339,0.5733
1348,47.53,0.231,0.5862
1349,47.51,0.2282,0.5991
1350,47.5,0.2254,0.612
1351,47.48,0.2225,0.6249
1352,47.47,0.2197,0.6378
1353,47.45,0.2169,0.6507
1354,47.43,0.214,0.6635
1355,47.42,0.2112,0.6763
1356,47.4,0.2084,0.6892
1357,47.39,0.2056,0.702
1358,47.37,0.2027,0.7148
1359,47.35,0.1999,0.7276
1360,47.34,0.1971,0.7404
1361,47.32,0.1943,0.7533
1362,47.3,0.1915,0.7661
1363,47.29,0.1886,0.7789
1364,47.27,0.1858,0.7918
1365,47.26,0.183,0.8046
1366,47.24,0.1802,0.8175
1367,47.22,0.1773,0.8304
1368,47.21,0.1745,0.8432
1369,47.19,0.1716,0.8562
1370,47.17,0.1688,0.8691
1371,47.16,0.1659,0.882
1372,47.14,0.1631,0.895
1373,47.12,0.1602,0.908
1374,47.11,0.1574,0.9211
1375,47.09,0.1545,0.9341
1376,47.07,0.1516,0.9472
1377,47.05,0.1487,0.9604
1378,47.04,0.1458,0.9735
1379,47.02,0.1429,0.9868
1380,47.0,0.14,1.0
1381,46.98,0.1371,1.0
1382,46.96,0.1341,1.0
1383,46.95,0.1312,1.0
1384,46.93,0.1283,1.0
1385,46.91,0.1253,1.0
1386,46.89,0.1224,1.0
1387,46.87,0.1195,1.0
1388,46.85,0.1166,1.0
1389,46.84,0.1137,1.0
1390,46.82,0.1108,1.0
1391,46.8,0.1079,1.0
1392,46.78,0.105,1.0
1393,46.76,0.1022,1.0
1394,46.74,0.0994,1.0
1395,46.72,0.0966,1.0
1396,46.71,0.0939,1.0
1397,46.69,0.0912,1.0
1398,46.67,0.0885,1.0
1399,46.65,0.0858,1.0
1400,46.63,0.0832,1.0
1401,46.62,0.0807,1.0
1402,46.6,0.0782,1.0
1403,46.58,0.0757,1.0
1404,46.56,0.0733,1.0
1405,46.55,0.0709,1.0
1406,46.53,0.0686,1.0
1407,46.51,0.0664,1.0
1408,46.5,0.0642,1.0
1409,46.48,0.0621,1.0
1410,46.47,0.06,1.0
1411,46.45,0.058,1.0
1412,46.44,0.0561,1.0
1413,46.42,0.0543,1.0
1414,46.41,0.0525,1.0
1415,46.39,0.0508,1.0
1416,46.38,0.0491,1.0
1417,46.37,0.0476,1.0
1418,46.35,0.046,1.0
1419,46.34,0.0446,1.0
1420,46.33,0.0432,1.0
1421,46.32,0.0419,1.0
1422,46.3,0.0407,1.0
1423,46.29,0.0395,1.0
1424,46.28,0.0385,1.0
1425,46.27,0.0374,1.0
1426,46.27,0.0365,1.0
1427,46.26,0.0356,1.0
1428,46.25,0.0347,1.0
1429,46.24,0.034,1.0
1430,46.23,0.0333,1.0
1431,46.23,0.0327,1.0
1432,46.22,0.0321,1.0
1433,46.22,0.0316,1.0
1434,46.21,0.0312,1.0
1435,46.21,0.0308,1.0
1436,46.21,0.0305,1.0
1437,46.2,0.0303,1.0
1438,46.2,0.0301,1.0
1439,46.2,0.03,1.0
1440,46.2,0.03,1.0
