mach,alt,q,t0_post_shock,qdot
#units,-,km,kPa,K,W/cm2
0.5,5,9.455540252843752,268.464,0.08697465700585594
0.8,8,16.46297151356999,266.458416,0.2711483335218574
0.8,11,10.551728668508055,250.33703999999997,0.20418932723701724
1.2,11,23.74138950414312,285.84584,0.6891389794249331
1.2,15,12.214368408996002,279.04519999999997,0.4827139981746228
1.6,15,21.714432727104004,327.5748,1.1442109586361433
2,18,22.860472232145607,389.96999999999997,1.8344018660304526
2,21,13.843174381021104,391.7339999999999,1.4338713450861575
2.5,21,21.629959970345478,489.66749999999996,2.800529970871401
3,24,19.883476060102325,617.5960000000001,3.9184698303171164
3,27,12.698198799603217,625.8951999999999,3.1732076509337466
3.5,27,17.283659477237716,771.1922999999997,5.038936223473497
4,30,13.4043002091544,951.3419999999999,5.87281270277066
4.5,33,13.383438726538955,1179.9930999999997,7.6576961296188735
5,36,11.80097370166,1444.8839999999998,9.148990622557834
5,40,5.025947347303998,1502.1,6.211104092489634
1.5,5,85.09986227559375,370.73600000000005,2.3483157391581098
