t,v_probe
#units,s,m/s
0.020811654526534856,0.000000000000010910508868248381
0.04162330905306971,0.000000000000009016497624974991
0.06243496357960457,0.0000000000000053750900642926295
0.08324661810613943,0.0000000000000005213633562806293
0.10405827263267428,-0.000000000000005628933215933034
0.12486992715920914,-0.000000000000012520308449287374
0.145681581685744,-0.000000000000019417186667573764
0.16649323621227885,-0.000000000000025173225814105743
0.1873048907388137,-0.000000000000025194334684919703
0.20811654526534856,-0.000000000000009064126585748802
0.22892819979188342,0.00000000000004358066831556243
0.24973985431841828,0.00000000000017776651844564996
0.27055150884495316,0.0000000000004758522522351734
0.291363163371488,0.0000000000010834465724014554
0.3121748178980228,0.0000000000022352293957198036
0.3329864724245577,0.000000000004314105802347498
0.3537981269510926,0.000000000007895748235518914
0.3746097814776274,0.000000000013847102288233292
0.39542143600416224,0.00000000002341666547385204
0.4162330905306971,0.000000000038360490444250184
0.437044745057232,0.00000000006109525511438227
0.45785639958376684,0.00000000009488774582072916
0.47866805411030167,0.00000000014406284630021499
0.49947970863683655,0.00000000021425170437761768
0.5202913631633714,0.00000000031268589574333184
0.5411030176899063,0.00000000044850944863665194
0.5619146722164411,0.0000000006331406958708247
0.582726326742976,0.0000000008806733601975332
0.6035379812695109,0.0000000012083099605923378
0.6243496357960456,0.0000000016368344270094667
0.6451612903225805,0.000000002191132356772276
0.6659729448491154,0.0000000029007291584743966
0.6867845993756503,0.000000003800382197685664
0.7075962539021852,0.000000004930684572685744
0.7284079084287199,0.000000006338714195922813
0.7492195629552548,0.000000008078702497610788
0.7700312174817897,0.000000010212728416548583
0.7908428720083245,0.000000012811438843438353
0.8116545265348594,0.000000015954777881783352
0.8324661810613943,0.000000019732730983903266
0.8532778355879291,0.00000002424609768358761
0.874089490114464,0.000000029607244989337983
0.8949011446409988,0.00000003594088104926021
0.9157127991675337,0.000000043384831499694994
0.9365244536940686,0.000000052090786260569514
0.9573361082206033,0.00000006222510576288572
0.9781477627471382,0.00000007396951510570566
0.9989594172736731,0.00000008752189738537648
1.019771071800208,0.00000010309697993265669
1.0405827263267429,0.00000012092706400400994
1.0613943808532778,0.00000014126270117138956
1.0822060353798126,0.00000016437336655932713
1.1030176899063473,0.00000019054808519589988
1.1238293444328822,0.00000022009601980981676
1.144640998959417,0.0000002533470937436901
1.165452653485952,0.0000002906525531056861
1.1862643080124868,0.00000033238545510306014
1.2070759625390217,0.0000003789412389518076
1.2278876170655566,0.00000043073799471495413
1.2486992715920913,0.0000004882169826653869
1.2695109261186261,0.000000551843116088994
1.290322580645161,0.0000006221053340987849
1.311134235171696,0.0000006995164921724687
1.3319458896982308,0.0000007846142870854815
1.3527575442247657,0.0000008779612341923372
1.3735691987513006,0.0000009801445219099999
1.3943808532778355,0.0000010917767651832962
1.4151925078043703,0.0000012134959492589913
1.436004162330905,0.000001345965358822654
1.4568158168574399,0.0000014898738913966928
1.4776274713839748,0.0000016459363317273698
1.4984391259105097,0.0000018148921323115057
1.5192507804370445,0.000001997507323823591
1.5400624349635794,0.0000021945732235540714
1.5608740894901143,0.00000240690634046157
1.581685744016649,0.0000026353490534457396
1.6024973985431838,0.000002880769612221535
1.6233090530697187,0.0000031440598713230625
1.6441207075962536,0.000003426138046834495
1.6649323621227885,0.000003727947695458106
1.6857440166493234,0.000004050455631925746
1.7065556711758583,0.000004394652826916496
1.7273673257023932,0.00000476155770391125
1.748178980228928,0.000005152209544642831
1.7689906347554627,0.000005567672451442587
1.7898022892819976,0.000006009033244858606
1.8106139438085325,0.000006477403933389194
1.8314255983350674,0.00000697391802293459
1.8522372528616022,0.000007499733292764845
1.8730489073881371,0.000008056026710013772
1.893860561914672,0.000008644001123892113
1.9146722164412067,0.000009264880449598494
1.9354838709677415,0.000009919908229589248
1.9562955254942764,0.00001061034714682548
1.9771071800208113,0.000011337486623378344
1.9979188345473462,0.000012102631255841894
2.018730489073881,0.000012907108528085155
2.039542143600416,0.000013752267932051018
2.060353798126951,0.000014639471241862857
2.0811654526534857,0.00001557010656196479
2.1019771071800206,0.00001654557701038201
2.1227887617065555,0.000017567303201452365
2.1436004162330904,0.000018636728240599374
2.1644120707596253,0.000019755307368132614
2.1852237252861597,0.000020924518978811564
2.2060353798126946,0.000022145851094589494
2.2268470343392295,0.000023420820584461854
2.2476586888657644,0.000024750947955914285
2.2684703433922992,0.000026137774528704516
2.289281997918834,0.000027582860892898413
2.310093652445369,0.000029087783409756027
2.330905306971904,0.00003065413148629508
2.351716961498439,0.00003228350700277097
2.3725286160249737,0.00003397752832331778
2.3933402705515086,0.00003573782546840461
2.4141519250780434,0.00003756605016646483
2.4349635796045783,0.00003946385581130595
2.455775234131113,0.00004143292654643592
2.476586888657648,0.000043474948939460055
2.4973985431841825,0.00004559161368716955
2.5182101977107174,0.000047784640628781816
2.5390218522372523,0.00005005575765115532
2.559833506763787,0.00005240669335772712
2.580645161290322,0.000054839208724831494
2.601456815816857,0.000057355068094381434
