step,t,max_speed,interior_div,v_probe
2100,52.5000,1.58063e0,5.98e-13,-6.869061e-3
2120,53.0000,1.58063e0,7.06e-13,-6.870107e-3
2140,53.5000,1.58063e0,8.36e-13,-6.872821e-3
2160,54.0000,1.58063e0,8.45e-13,-6.875680e-3
2180,54.5000,1.58063e0,9.06e-13,-6.877326e-3
2200,55.0000,1.58063e0,5.66e-13,-6.877199e-3
2220,55.5000,1.58063e0,7.04e-13,-6.875659e-3
2240,56.0000,1.58063e0,7.33e-13,-6.873665e-3
2260,56.5000,1.58063e0,8.77e-13,-6.872237e-3
2280,57.0000,1.58063e0,6.56e-13,-6.871928e-3
2300,57.5000,1.58063e0,8.19e-13,-6.872663e-3
2320,58.0000,1.58063e0,9.92e-13,-6.873896e-3
2340,58.5000,1.58063e0,8.42e-13,-6.874944e-3
2360,59.0000,1.58063e0,1.03e-12,-6.875343e-3
2380,59.5000,1.58063e0,8.45e-13,-6.875037e-3
2400,60.0000,1.58063e0,1.05e-12,-6.874310e-3
2420,60.5000,1.58063e0,7.22e-13,-6.873592e-3
2440,61.0000,1.58063e0,6.91e-13,-6.873223e-3
2460,61.5000,1.58063e0,6.01e-13,-6.873307e-3
2480,62.0000,1.58063e0,8.27e-13,-6.873709e-3
2500,62.5000,1.58063e0,7.16e-13,-6.874171e-3
2520,63.0000,1.58063e0,5.84e-13,-6.874460e-3
2540,63.5000,1.58063e0,7.92e-13,-6.874471e-3
2560,64.0000,1.58063e0,9.57e-13,-6.874258e-3
2580,64.5000,1.58063e0,9.54e-13,-6.873968e-3
2600,65.0000,1.58063e0,8.69e-13,-6.873758e-3
2620,65.5000,1.58063e0,1.04e-12,-6.873713e-3
2640,66.0000,1.58063e0,6.94e-13,-6.873820e-3
2660,66.5000,1.58063e0,6.27e-13,-6.873995e-3
2680,67.0000,1.58063e0,9.26e-13,-6.874138e-3
2700,67.5000,1.58063e0,7.79e-13,-6.874187e-3
2720,68.0000,1.58063e0,8.40e-13,-6.874135e-3
2740,68.5000,1.58063e0,6.12e-13,-6.874029e-3
2760,69.0000,1.58063e0,5.61e-13,-6.873929e-3
2780,69.5000,1.58063e0,5.66e-13,-6.873883e-3
2800,70.0000,1.58063e0,8.78e-13,-6.873903e-3
2820,70.5000,1.58063e0,8.29e-13,-6.873964e-3
2840,71.0000,1.58063e0,5.50e-13,-6.874029e-3
2860,71.5000,1.58063e0,6.28e-13,-6.874062e-3
2880,72.0000,1.58063e0,7.75e-13,-6.874054e-3
2900,72.5000,1.58063e0,8.29e-13,-6.874015e-3
2920,73.0000,1.58063e0,7.02e-13,-6.873971e-3
2940,73.5000,1.58063e0,5.96e-13,-6.873944e-3
2960,74.0000,1.58063e0,5.02e-13,-6.873945e-3
2980,74.5000,1.58063e0,6.11e-13,-6.873967e-3
3000,75.0000,1.58063e0,6.27e-13,-6.873994e-3
3020,75.5000,1.58063e0,5.43e-13,-6.874011e-3
3040,76.0000,1.58063e0,6.63e-13,-6.874012e-3
3060,76.5000,1.58063e0,5.92e-13,-6.873998e-3
3080,77.0000,1.58063e0,5.31e-13,-6.873979e-3
3100,77.5000,1.58063e0,6.95e-13,-6.873965e-3
